id,title,description,link,image_link,price,availability,brand,condition,inventory_not_tracked,disable_checkout,product_category
domain-com,.com domain registration,1-year .com domain registration with WHOIS privacy and Cloudflare DNS hosting included.,https://instadomain.fly.dev/,https://instadomain.fly.dev/og.png,18.12 USD,in_stock,InstaDomain,new,true,true,Internet > Domain Names > Domain Registration
domain-net,.net domain registration,1-year .net domain registration with WHOIS privacy and Cloudflare DNS hosting included.,https://instadomain.fly.dev/,https://instadomain.fly.dev/og.png,18.12 USD,in_stock,InstaDomain,new,true,true,Internet > Domain Names > Domain Registration
domain-org,.org domain registration,1-year .org domain registration with WHOIS privacy and Cloudflare DNS hosting included.,https://instadomain.fly.dev/,https://instadomain.fly.dev/og.png,18.12 USD,in_stock,InstaDomain,new,true,true,Internet > Domain Names > Domain Registration
domain-dev,.dev domain registration,"1-year .dev domain registration. HTTPS-only TLD, ideal for developer tooling. WHOIS privacy and Cloudflare DNS included.",https://instadomain.fly.dev/,https://instadomain.fly.dev/og.png,20.99 USD,in_stock,InstaDomain,new,true,true,Internet > Domain Names > Domain Registration
domain-app,.app domain registration,"1-year .app domain registration. HTTPS-only TLD, ideal for application landing pages. WHOIS privacy and Cloudflare DNS included.",https://instadomain.fly.dev/,https://instadomain.fly.dev/og.png,20.99 USD,in_stock,InstaDomain,new,true,true,Internet > Domain Names > Domain Registration
domain-io,.io domain registration,1-year .io domain registration. Popular with startups and tech products. WHOIS privacy and Cloudflare DNS included.,https://instadomain.fly.dev/,https://instadomain.fly.dev/og.png,52.49 USD,in_stock,InstaDomain,new,true,true,Internet > Domain Names > Domain Registration
domain-co,.co domain registration,1-year .co domain registration. Compact alternative to .com. WHOIS privacy and Cloudflare DNS included.,https://instadomain.fly.dev/,https://instadomain.fly.dev/og.png,35.99 USD,in_stock,InstaDomain,new,true,true,Internet > Domain Names > Domain Registration
domain-ai,.ai domain registration,1-year .ai domain registration. The default TLD for AI-native products. WHOIS privacy and Cloudflare DNS included.,https://instadomain.fly.dev/,https://instadomain.fly.dev/og.png,98.99 USD,in_stock,InstaDomain,new,true,true,Internet > Domain Names > Domain Registration
domain-xyz,.xyz domain registration,"1-year .xyz domain registration. Affordable, generic TLD. WHOIS privacy and Cloudflare DNS included.",https://instadomain.fly.dev/,https://instadomain.fly.dev/og.png,12.99 USD,in_stock,InstaDomain,new,true,true,Internet > Domain Names > Domain Registration
domain-me,.me domain registration,1-year .me domain registration. Personal-brand TLD. WHOIS privacy and Cloudflare DNS included.,https://instadomain.fly.dev/,https://instadomain.fly.dev/og.png,24.99 USD,in_stock,InstaDomain,new,true,true,Internet > Domain Names > Domain Registration
